colony_number,block,treatment,triad,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day,colony_survival_days,wax_moth
51,1,sivanto,1,M,porkka,20,18,33,52,10,63,N
7,1,sivanto,2,WA,porkka,19,11,42,61,1,77,N
34,1,control,1,M,porkka,28,10,38,53,9,63,N
17,1,flup,2,WA,porkka,15,11,49,61,1,35,N
117,1,flup,3,BA,porkka,14,7,28,40,22,56,N
8,1,control,2,WA,porkka,17,11,49,61,1,77,N
185,1,control,3,BA,porkka,8,9,27,35,27,77,N
57,1,flup,1,M,porkka,22,13,42,47,15,105,N
12,1,sivanto,3,BA,porkka,11,11,56,61,1,63,N
171,1,sivanto,4,BG,porkka,6,9,30,35,27,56,N
177,1,flup,4,BG,porkka,6,9,34,35,27,77,N
116,1,control,4,BG,porkka,7,7,39,40,22,63,N
96,2,control,5,BG,porkka,10,8,41,44,20,49,N
76,2,sivanto,5,BG,porkka,19,9,42,45,19,70,N
46,2,flup,5,BG,porkka,10,18,51,54,10,77,N
104,2,sivanto,6,M,porkka,8,9,41,44,20,70,N
87,2,control,6,M,porkka,8,8,41,44,20,49,N
33,2,control,7,WA,porkka,7,10,52,55,9,70,N
170,2,flup,7,WA,porkka,7,9,34,37,27,56,N
119,2,flup,8,BA,porkka,5,14,39,42,22,91,N
124,2,flup,6,M,porkka,10,7,39,42,22,84,N
131,2,control,8,BA,porkka,6,7,39,42,22,84,N
127,2,sivanto,7,WA,porkka,7,14,39,42,22,77,Y
143,2,sivanto,8,BA,porkka,7,7,39,42,22,49,N
198,3,flup,12,WA,porkka,6,11,39,40,30,91,N
83,3,sivanto,11,M,porkka,7,28,50,51,19,70,N
159,3,sivanto,10,BG,porkka,9,9,42,43,27,77,N
77,3,flup,11,M,porkka,6,24,50,51,19,56,N
105,3,control,9,BA,porkka,10,9,49,50,20,77,N
181,3,flup,9,BA,porkka,14,9,42,43,27,56,N
72,3,control,12,WA,porkka,5,17,50,51,19,56,N
197,3,sivanto,9,BA,porkka,11,6,32,40,30,70,Y
174,3,sivanto,12,WA,porkka,6,9,42,43,27,77,N
203,3,control,11,M,porkka,7,24,39,40,30,84,N
123,3,flup,10,BG,porkka,9,7,47,48,22,56,N
4,3,control,10,BG,porkka,10,11,68,69,1,35,N
42,4,sivanto,13,WA,porkka,14,23,67,69,10,42,N
39,4,control,13,WA,porkka,20,27,68,70,9,63,Y
79,4,control,15,BG,porkka,10,17,58,60,19,42,N
84,4,sivanto,15,BG,porkka,7,17,58,60,19,42,N
134,4,flup,13,WA,porkka,15,7,55,57,22,84,N
163,4,sivanto,14,BA,porkka,10,9,50,52,27,42,N
176,4,sivanto,16,M,porkka,5,9,50,52,27,70,N
194,4,flup,14,BA,porkka,16,11,47,49,30,56,Y
214,4,control,16,M,porkka,8,24,47,49,30,84,N
248,4,control,14,BA,bee_room,8,20,42,44,35,70,N
237,4,flup,15,BG,bee_room,9,20,42,44,35,70,N
229,4,flup,16,M,bee_room,8,20,42,44,35,63,Y
75,5,control,20,BG,porkka,8,17,58,60,19,49,N
118,5,control,18,WA,porkka,13,7,55,57,22,63,N
135,5,sivanto,19,BA,porkka,9,25,55,57,22,56,Y
140,5,flup,18,WA,porkka,16,7,55,57,22,70,N
191,5,flup,17,M,porkka,16,9,50,52,27,70,Y
216,5,control,17,M,porkka,23,6,47,49,30,70,Y
250,5,sivanto,20,BG,bee_room,9,20,42,44,35,63,N
314,5,sivanto,17,M,bee_room,23,6,40,42,37,70,N
315,5,flup,20,BG,bee_room,7,11,40,42,37,70,Y
264,5,sivanto,18,WA,bee_room,15,12,41,43,36,49,N
277,5,control,19,BA,bee_room,11,18,40,42,37,70,N
300,5,flup,19,BA,bee_room,11,11,40,42,37,56,Y
