colony_number,block,treatment,triad,experiment_census_day,wax_moth,worker_number,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day
51,1,sivanto,1,0,N,20,M,porkka,20,18,33,52,10
7,1,sivanto,2,0,N,19,WA,porkka,19,11,42,61,1
34,1,control,1,0,N,28,M,porkka,28,10,38,53,9
17,1,flup,2,0,N,15,WA,porkka,15,11,49,61,1
117,1,flup,3,0,N,14,BA,porkka,14,7,28,40,22
8,1,control,2,0,N,17,WA,porkka,17,11,49,61,1
185,1,control,3,0,N,8,BA,porkka,8,9,27,35,27
57,1,flup,1,0,N,22,M,porkka,22,13,42,47,15
12,1,sivanto,3,0,N,11,BA,porkka,11,11,56,61,1
171,1,sivanto,4,0,N,6,BG,porkka,6,9,30,35,27
177,1,flup,4,0,N,6,BG,porkka,6,9,34,35,27
116,1,control,4,0,N,7,BG,porkka,7,7,39,40,22
96,2,control,5,0,N,10,BG,porkka,10,8,41,44,20
76,2,sivanto,5,0,N,19,BG,porkka,19,9,42,45,19
46,2,flup,5,0,N,10,BG,porkka,10,18,51,54,10
104,2,sivanto,6,0,N,8,M,porkka,8,9,41,44,20
87,2,control,6,0,N,8,M,porkka,8,8,41,44,20
33,2,control,7,0,N,7,WA,porkka,7,10,52,55,9
170,2,flup,7,0,N,7,WA,porkka,7,9,34,37,27
119,2,flup,8,0,N,5,BA,porkka,5,14,39,42,22
124,2,flup,6,0,N,10,M,porkka,10,7,39,42,22
131,2,control,8,0,N,6,BA,porkka,6,7,39,42,22
127,2,sivanto,7,0,N,7,WA,porkka,7,14,39,42,22
143,2,sivanto,8,0,N,7,BA,porkka,7,7,39,42,22
51,1,sivanto,1,7,N,30,M,porkka,20,18,33,52,10
7,1,sivanto,2,7,N,28,WA,porkka,19,11,42,61,1
34,1,control,1,7,N,39,M,porkka,28,10,38,53,9
17,1,flup,2,7,N,13,WA,porkka,15,11,49,61,1
117,1,flup,3,7,N,31,BA,porkka,14,7,28,40,22
8,1,control,2,7,N,23,WA,porkka,17,11,49,61,1
185,1,control,3,7,N,30,BA,porkka,8,9,27,35,27
57,1,flup,1,7,N,31,M,porkka,22,13,42,47,15
12,1,sivanto,3,7,N,21,BA,porkka,11,11,56,61,1
171,1,sivanto,4,7,N,14,BG,porkka,6,9,30,35,27
177,1,flup,4,7,N,17,BG,porkka,6,9,34,35,27
116,1,control,4,7,N,26,BG,porkka,7,7,39,40,22
198,3,flup,12,0,N,6,WA,porkka,6,11,39,40,30
83,3,sivanto,11,0,N,7,M,porkka,7,28,50,51,19
159,3,sivanto,10,0,N,9,BG,porkka,9,9,42,43,27
77,3,flup,11,0,N,6,M,porkka,6,24,50,51,19
105,3,control,9,0,N,10,BA,porkka,10,9,49,50,20
181,3,flup,9,0,N,14,BA,porkka,14,9,42,43,27
