colony_number,block,date,treatment,triad,pollen_mass_in_day_0,feeder_mass_day_0,sucrose_mass_in_day_0,pollen_mass_out_day_1,sucrose_mass_out_day_1,pollen_mass_in_day_1,feeder_mass_day_1,sucrose_mass_in_day_1,pollen_mass_out_day_2,sucrose_mass_out_day_2,pollen_mass_in_day_2,feeder_mass_day_2,sucrose_mass_in_day_2,pollen_mass_out_day_4,sucrose_mass_out_day_4,pollen_mass_in_day_4,feeder_mass_day_4,sucrose_mass_in_day_4,pollen_mass_out_day_6,sucrose_mass_out_day_6,pollen_mass_in_day_6,feeder_mass_day_6,sucrose_mass_in_day_6,pollen_mass_out_day_8,sucrose_mass_out_day_8,pollen_mass_in_day_8,feeder_mass_day_8,sucrose_mass_in_day_8,pollen_mass_out_day_10,sucrose_mass_out_day_10
51,1,19/04/2022,sivanto,1,9980,16868,35346,7599,39673,9934,16905,35058,6848,33622,10121,16911,50419,3750,38345,20045,17212,35114,11084,21292,20194,16958,51612,8078,23524,20020,17326,56866,4521,24924
7,1,19/04/2022,sivanto,2,10064,17160,35030,8468,44404,10068,16910,34813,8585,42189,10077,17214,35635,7135,40627,19937,16924,48702,14804,46634,10018,17219,49681,4378,41563,19867,16910,47986,11454,40286
34,1,19/04/2022,control,1,9938,16876,35241,4683,37467,10096,16982,35041,4825,33024,14077,17233,51281,6817,38156,9963,17252,35515,1891,17361,19977,17219,53871,9836,17327,19936,34120,98760,11052,88301
17,1,19/04/2022,flup,2,10068,16918,35253,8851,46852,10023,17266,35009,8406,45483,10058,16896,35332,8133,41990,10077,17064,34836,8503,40889,9986,17214,34717,7671,40224,9932,17212,35421,7856,43319
117,1,19/04/2022,flup,3,10076,17192,35254,7365,44279,10064,17307,35127,4719,41045,9924,17175,34838,41,30181,19888,17159,52847,6062,35093,20076,17211,48128,2533,22167,20183,17376,55636,4062,31488
8,1,19/04/2022,control,2,9947,17206,35114,7800,44252,10013,16923,35429,7264,41929,10050,17228,35127,6020,36774,10077,17207,34688,3749,24889,20117,16957,53626,11293,39589,19984,17036,50806,10421,34129
185,1,19/04/2022,control,3,9983,17156,35296,7654,45072,10096,16917,35129,8192,43444,9966,16927,35138,6549,36628,9940,17159,34719,2809,24934,20057,17060,52983,8228,34420,19989,17229,52248,9659,32732
57,1,19/04/2022,flup,1,10074,16914,35327,6171,40110,9921,17256,34772,6117,36070,10053,16885,49959,3847,42070,19932,16924,34760,11089,20463,20022,16969,52914,8460,27683,20036,17376,56642,10518,34840
12,1,19/04/2022,sivanto,3,9956,16886,35160,8262,46358,9922,17329,35025,8271,42348,10084,17246,34617,7083,38032,10030,17197,35090,5565,32164,20042,16884,34749,14387,27380,19810,17241,50536,14407,40766
171,1,19/04/2022,sivanto,4,9994,17159,35303,8348,47939,10052,16976,34928,8403,44702,10084,16920,34532,6485,39009,10084,17174,34896,5782,35188,20176,16931,48951,14392,44256,20132,16924,54950,11981,48944
177,1,19/04/2022,flup,4,9997,17165,35222,8930,44734,10091,17248,35187,8472,45250,10053,17196,34841,7909,40061,9966,16889,34828,6294,39223,9967,16951,34993,4739,29667,20098,17069,48819,12275,40868
116,1,19/04/2022,control,4,10061,17326,35070,9194,43997,9937,16947,35369,8737,42061,9961,17237,35233,6075,35301,9935,16957,35208,5137,24627,20121,17165,54612,14198,30329,19854,17218,51283,13408,33273
EC-1,1,19/04/2022,evap_con,,10048,16915,24419,9293,41057,10037,16672,35526,9283,51737,9976,16879,34805,9048,51067,10069,17167,35298,8817,51667,10076,17252,34833,8984,51319,10012,17052,35054,8915,51296
EC-2,1,19/04/2022,evap_con,,9960,17164,25182,9267,42030,9947,16963,34759,9235,51294,9819,17160,34531,8960,51060,9933,16880,34881,8721,51037,10028,16953,34704,8836,50783,9915,17069,35013,8954,51276
EC-3,1,19/04/2022,evap_con,,10085,17167,21903,9368,38745,9960,16983,35319,9167,51844,9851,16949,35307,8890,51614,9995,16929,34596,8793,51132,10080,17221,34685,8853,51041,9989,17270,35095,8931,51593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,21/04/2022,control,5,10057,16888,34903,9302,44404,10048,17000,35055,8852,43067,10047,17211,34708,6774,34589,9933,16928,35209,5329,31384,19847,17003,48329,15421,40408,19957,16919,48638,14667,43604
76,2,21/04/2022,sivanto,5,9936,17180,34752,6968,44057,10052,17182,34945,6591,39313,9934,17076,35139,34,22336,19868,17234,51174,6256,29172,19895,17374,56509,39,25981,19942,16865,55687,3551,24894
46,2,21/04/2022,flup,5,10067,17161,34977,9056,47962,10041,17228,35385,8740,44170,10047,17187,34916,8015,39529,10070,16980,34802,7499,37635,9947,17237,50780,5209,49243,20244,16926,49886,13223,44711
104,2,21/04/2022,sivanto,6,10069,16939,34707,8787,46715,9942,16945,35010,8689,45320,10033,17236,34833,6290,36173,10047,17351,34972,2492,27606,20010,16892,49281,11356,38987,19938,16891,49019,9688,36426
87,2,21/04/2022,control,6,9920,17149,35085,8148,44982,9933,16905,35121,8058,42246,9914,17158,34688,5140,28792,19852,17177,52875,9673,38533,19883,16947,55776,8593,30924,19965,17165,56070,8355,33900
33,2,21/04/2022,control,7,9909,17222,34954,8605,47126,9902,17000,35268,8648,45005,9912,16915,34662,7731,39473,10069,17231,34932,6777,37092,10006,17334,47670,6178,48152,9945,17208,34531,6541,34108
170,2,21/04/2022,flup,7,10041,16942,34895,8384,43935,9918,17226,34843,8384,44887,10063,17165,35223,6007,38643,10078,16994,35269,5343,37463,19839,16947,47858,14012,47861,19774,16925,51401,13166,46591
119,2,21/04/2022,flup,8,9939,17231,34732,9077,47352,10097,17210,35096,9253,48502,9990,17216,34797,7950,42892,9917,16931,34710,7343,38148,10058,17367,47605,6383,45675,20295,17165,49354,13541,44476
124,2,21/04/2022,flup,6,10053,17163,34690,7370,43912,10072,16983,35168,7791,42366,9960,17205,35101,4717,33237,19956,17169,50480,11126,44010,20193,16945,50201,12075,40246,19885,17169,53840,13361,45164
131,2,21/04/2022,control,8,9951,16923,35006,8640,46529,9996,16900,34650,8828,43755,9911,17160,35158,7401,40522,10018,17214,35133,7415,39592,10036,17079,48773,5975,48753,9912,16879,35169,4860,29151
127,2,21/04/2022,sivanto,7,9901,16883,35004,9075,44590,10085,17248,34748,9064,43867,9954,17168,34958,8396,39772,9925,17228,34774,8245,38368,9924,17249,47812,8211,51544,10043,17041,48455,8372,50850
143,2,21/04/2022,sivanto,8,10084,17163,35127,9159,44979,9993,16939,34798,8700,41890,10037,17221,35045,7059,37093,10065,17198,35003,7036,28177,9975,17185,49680,6676,41849,10082,17158,48233,3310,36347
EC-4,2,21/04/2022,evap_con,,10089,16930,35292,9409,51762,9960,17206,35021,9061,51592,10067,17180,36114,8835,52300,10067,17306,34941,8885,51023,10094,16992,34550,8884,51254,9972,16604,49884,8737,65472
EC-5,2,21/04/2022,evap_con,,10070,17166,35110,9367,51917,9906,17238,34680,9068,51191,10088,17167,35867,8954,52221,10050,17357,34886,8887,51083,10068,16889,34947,8827,51142,10072,16600,49345,8646,65054
EC-6,2,21/04/2022,evap_con,,9961,16888,34727,9321,51281,9912,17276,34776,9094,51372,10097,16883,35093,8912,50931,10016,17219,34589,8819,50753,9995,17241,35107,8800,50999,10028,16920,48060,8778,63993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,3,27/04/2022,flup,12,9955,17208,34768,7763,45833,10027,17321,35212,7564,42557,9986,16877,49610,6833,52483,9939,17196,50116,7714,49242,20031,17161,52139,17373,57809,20098,16906,53226,17430,57494
