colony_number,date_caught,location,rearing_location,date_of_queen_death,date_of_egg_laying,date_of_second_screen,second_screen_passed,date_of_first_worker,date_of_6_workers,date_of_colony_box_move,date_of_exposure_start,number_of_workers_at_exposure_start,treatment_assigned
1,17.02.22,windsor great park,porkka,,07.03.22,03.03.22,Y,,,,,,
2,17.02.22,windsor great park,porkka,,,03.03.22,N,,,,,,
3,17.02.22,windsor great park,porkka,,,03.03.22,Y,,,,,,
4,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,14.04.22,26.04.22,26.04.22,27.04.22,10,control
5,17.02.22,windsor great park,porkka,,21.03.22,03.03.22,Y,,,,,,
6,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,,,,,,
7,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,24.03.22,31.03.22,01.04.22,19.04.22,19,sivanto
8,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,31.03.22,07.04.22,08.04.22,19.04.22,17,control
9,17.02.22,windsor great park,porkka,22.02.22,,,n/a,,,,,,
10,17.02.22,windsor great park,porkka,,,03.03.22,Y,,,,,,
11,17.02.22,windsor great park,porkka,,,03.03.22,Y,,,,,,
12,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,24.03.22,14.04.22,14.04.22,19.04.22,11,sivanto
13,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,N,,,,,,
14,17.02.22,windsor great park,porkka,25.02.22,,,n/a,,,,,,
15,17.02.22,windsor great park,porkka,,,03.03.22,N,,,,,,
16,17.02.22,windsor great park,porkka,28.02.22,,,n/a,,,,,,
17,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,24.03.22,07.04.22,08.04.22,19.04.22,15,flup
18,17.02.22,windsor great park,porkka,,28.02.22,03.03.22,Y,,,,,,
19,17.02.22,windsor great park,porkka,,,03.03.22,Y,,,,,,
20,17.02.22,windsor great park,porkka,28.02.22,,,n/a,,,,,,
21,17.02.22,windsor great park,porkka,,,03.03.22,Y,,,,,,
22,17.02.22,windsor great park,porkka,28.02.22,,,n/a,,,,,,
23,25.02.22,windsor great park,porkka,,07.03.22,16.03.22,Y,,,,,,
24,25.02.22,windsor great park,porkka,16.03.22,16.03.22,,n/a,14.04.22,,,,,
25,25.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
26,25.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
27,25.02.22,windsor great park,porkka,,16.03.22,16.03.22,Y,,,,,,
28,25.02.22,windsor great park,porkka,03.03.22,,,n/a,,,,,,
29,25.02.22,windsor great park,porkka,,16.03.22,16.03.22,Y,19.04.22,,,,,
30,25.02.22,windsor great park,porkka,,07.03.22,16.03.22,Y,14.04.22,,,,,
31,25.02.22,windsor great park,porkka,,11.04.22,16.03.22,Y,,,,,,
32,25.02.22,windsor great park,porkka,07.04.22,,16.03.22,Y,,,,,,
33,25.02.22,windsor great park,porkka,,07.03.22,16.03.22,Y,14.04.22,18.04.22,18.04.22,21.04.22,7,control
34,25.02.22,windsor great park,porkka,,07.03.22,16.03.22,Y,31.03.22,04.04.22,05.04.22,19.04.22,28,control
35,25.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
36,25.02.22,windsor great park,porkka,,11.04.22,16.03.22,Y,,,,,,
37,25.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
38,25.02.22,windsor great park,porkka,,24.03.22,16.03.22,Y,,,,,,
39,25.02.22,windsor great park,porkka,,24.03.22,16.03.22,Y,19.04.22,04.05.22,04.05.22,06.05.22,20,control
40,25.02.22,campus,porkka,,,16.03.22,Y,,,,,,
41,25.02.22,campus,porkka,,16.03.22,16.03.22,Y,,,,,,
42,26.02.22,windsor great park,porkka,,21.03.22,16.03.22,Y,14.04.22,04.05.22,04.05.22,06.05.22,14,sivanto
43,26.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
44,26.02.22,windsor great park,porkka,,07.03.22,16.03.22,Y,,,,,,
45,26.02.22,windsor great park,porkka,,07.03.22,16.03.22,Y,,,,,,
46,26.02.22,windsor great park,porkka,,16.03.22,16.03.22,Y,07.04.22,18.04.22,18.04.22,21.04.22,10,flup
47,26.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
48,26.02.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
49,26.02.22,windsor great park,porkka,,21.03.22,16.03.22,Y,,,,,,
50,26.02.22,windsor great park,porkka,24.03.22,,16.03.22,Y,,,,,,
51,26.02.22,windsor great park,porkka,,16.03.22,16.03.22,Y,28.03.22,31.03.22,01.04.22,19.04.22,20,sivanto
52,n/a,n/a,n/a,n/a,n/a,16.03.22,n/a,,,,,,
53,03.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
54,03.03.22,windsor great park,porkka,07.03.22,,,n/a,,,,,,
55,03.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
56,03.03.22,windsor great park,porkka,,16.03.22,16.03.22,Y,,,,,,
57,03.03.22,windsor great park,porkka,,16.03.22,16.03.22,Y,31.03.22,14.04.22,14.04.22,19.04.22,22,flup
58,03.03.22,windsor great park,porkka,,16.03.22,16.03.22,Y,,,,,,
59,03.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
60,03.03.22,windsor great park,porkka,,24.03.22,16.03.22,Y,19.04.22,,,,,
61,03.03.22,windsor great park,porkka,11.03.22,,,n/a,,,,,,
62,03.03.22,windsor great park,porkka,,24.03.22,16.03.22,Y,,,,,,
63,03.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
64,03.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
65,03.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
66,03.03.22,windsor great park,porkka,21.03.22,,,n/a,,,,,,
67,03.03.22,windsor great park,porkka,,11.04.22,16.03.22,Y,,,,,,
68,03.03.22,windsor great park,porkka,,24.03.22,16.03.22,Y,,,,,,
69,07.03.22,windsor great park,porkka,,,16.03.22,Y,,,,,,
70,07.03.22,windsor great park,porkka,,,18.03.22,Y,,,,,,
