colony_number,block,date,treatment,triad,experiment_census_day,colony_alive,queen_alive,gyne_larvae_pupae,worker_larvae_pupae,worker_number,nectar_pot_number,male_number,gyne_number,wax_moth
51,1,19/04/2022,sivanto,1,0,Y,Y,N,Y,20,11,0,0,N
7,1,19/04/2022,sivanto,2,0,Y,Y,N,Y,19,11,0,0,N
34,1,19/04/2022,control,1,0,Y,Y,N,Y,28,8,0,0,N
17,1,19/04/2022,flup,2,0,Y,Y,N,Y,15,14,0,0,N
117,1,19/04/2022,flup,3,0,Y,Y,N,Y,14,9,0,0,N
8,1,19/04/2022,control,2,0,Y,Y,N,Y,17,11,0,0,N
185,1,19/04/2022,control,3,0,Y,Y,N,Y,8,4,0,0,N
57,1,19/04/2022,flup,1,0,Y,Y,N,Y,22,4,0,0,N
12,1,19/04/2022,sivanto,3,0,Y,Y,N,Y,11,7,0,0,N
171,1,19/04/2022,sivanto,4,0,Y,Y,N,Y,6,7,0,0,N
177,1,19/04/2022,flup,4,0,Y,Y,N,Y,6,6,0,0,N
116,1,19/04/2022,control,4,0,Y,Y,N,Y,7,6,0,0,N
,,,,,,,,,,,,,,
96,2,21/04/2022,control,5,0,Y,Y,N,Y,10,6,0,0,N
76,2,21/04/2022,sivanto,5,0,Y,Y,N,Y,19,3,0,0,N
46,2,21/04/2022,flup,5,0,Y,Y,N,Y,10,8,0,0,N
104,2,21/04/2022,sivanto,6,0,Y,Y,N,Y,8,5,0,0,N
87,2,21/04/2022,control,6,0,Y,Y,N,Y,8,7,0,0,N
33,2,21/04/2022,control,7,0,Y,Y,N,Y,7,3,0,0,N
170,2,21/04/2022,flup,7,0,Y,Y,N,Y,7,7,0,0,N
119,2,21/04/2022,flup,8,0,Y,Y,N,Y,5,1,0,0,N
124,2,21/04/2022,flup,6,0,Y,Y,N,Y,10,3,0,0,N
131,2,21/04/2022,control,8,0,Y,Y,N,Y,6,3,0,0,N
127,2,21/04/2022,sivanto,7,0,Y,Y,N,Y,7,0,0,0,N
143,2,21/04/2022,sivanto,8,0,Y,Y,N,Y,7,0,0,0,N
,,,,,,,,,,,,,,
51,1,26/04/2022,sivanto,1,7,Y,Y,N,Y,30,18,0,0,N
7,1,26/04/2022,sivanto,2,7,Y,Y,N,Y,28,15,0,0,N
34,1,26/04/2022,control,1,7,Y,Y,N,Y,39,19,0,0,N
17,1,26/04/2022,flup,2,7,Y,N,N,Y,13,11,0,0,N
117,1,26/04/2022,flup,3,7,Y,Y,N,Y,31,9,0,0,N
8,1,26/04/2022,control,2,7,Y,Y,N,Y,23,12,0,0,N
185,1,26/04/2022,control,3,7,Y,Y,N,Y,30,11,0,0,N
57,1,26/04/2022,flup,1,7,Y,Y,N,Y,31,6,0,0,N
12,1,26/04/2022,sivanto,3,7,Y,Y,N,Y,21,8,0,0,N
