colony_number,block,treatment,triad,pollen_consumption_day_1,pollen_consumption_day_2,pollen_consumption_day_4,pollen_consumption_day_6,pollen_consumption_day_8,pollen_consumption_day_10,summed_consumption,number_of_workers_at_exposure_start
51,1,sivanto,1,1659.3333333333335,2333,5455,7739,10945.666666666666,14460.333333333334,42592.333333333336,20
7,1,sivanto,2,874.3333333333334,730,2026,3911,4469.666666666667,7374.333333333333,19385.333333333332,19
34,1,control,1,4533.333333333333,4518,6344,6850,8970.666666666666,7845.333333333333,39061.33333333333,28
17,1,flup,2,495.33333333333337,864,1009,352,1144.6666666666667,1037.3333333333333,4902.333333333333,15
117,1,flup,3,1989.3333333333335,4592,8967,12604,16372.666666666666,15082.333333333334,59607.333333333336,14
8,1,control,2,1425.3333333333335,1996,3114,5106,7653.666666666667,8524.333333333334,27819.333333333336,17
185,1,control,3,1607.3333333333335,1151,2501,5909,10658.666666666666,9291.333333333334,31118.333333333332,8
57,1,flup,1,3181.3333333333335,3051,5290,7621,10391.666666666666,8479.333333333334,38014.333333333336,22
12,1,sivanto,3,972.3333333333334,898,2085,3243,4484.666666666667,4364.333333333333,16047.333333333334,11
171,1,sivanto,4,924.3333333333334,896,2683,3080,4613.666666666667,7112.333333333333,19309.333333333332,6
177,1,flup,4,345.33333333333337,866,1228,2450,4057.666666666667,6784.333333333333,15731.333333333334,6
116,1,control,4,145.33333333333337,447,2970,3576,4752.666666666667,5407.333333333333,17298.333333333332,7
96,2,control,5,80.66666666666663,344.33333333333337,2089.333333333333,3423.333333333333,3210.666666666667,3986.333333333333,13134.666666666666,10
76,2,sivanto,5,2293.6666666666665,2609.3333333333335,8716.333333333334,12431.333333333334,18640.666666666668,15087.333333333334,59778.66666666667,19
46,2,flup,5,336.66666666666663,449.33333333333337,848.3333333333333,1390.3333333333333,3522.666666666667,5717.333333333333,12264.666666666666,10
104,2,sivanto,6,607.6666666666666,401.33333333333337,2559.333333333333,6374.333333333333,7438.666666666667,8946.333333333334,26327.666666666668,8
87,2,control,6,1097.6666666666665,1023.3333333333334,3590.333333333333,8998.333333333334,10074.666666666666,10306.333333333334,35090.666666666664,8
33,2,control,7,629.6666666666666,402.33333333333337,997.3333333333333,2111.333333333333,2612.666666666667,2100.333333333333,8853.666666666666,7
170,2,flup,7,982.6666666666666,682.3333333333334,2872.333333333333,3554.333333333333,4611.666666666667,5304.333333333333,18007.666666666664,7
119,2,flup,8,187.66666666666663,0,856.3333333333333,1393.3333333333333,2459.666666666667,5450.333333333333,10347.333333333334,5
124,2,flup,6,2008.6666666666665,1429.3333333333335,4059.333333333333,7649.333333333333,6902.666666666667,5220.333333333333,27269.666666666664,10
131,2,control,8,636.6666666666666,316.33333333333337,1326.3333333333333,1422.3333333333333,2845.666666666667,3748.333333333333,10295.666666666666,6
127,2,sivanto,7,151.66666666666663,169.33333333333337,374.33333333333326,499.33333333333326,497.66666666666674,367.33333333333326,2059.6666666666665,7
143,2,sivanto,8,250.66666666666663,441.33333333333337,1794.3333333333333,1848.3333333333333,2083.666666666667,5468.333333333333,11886.666666666666,7
198,3,flup,12,1201,1293.6666666666667,1788.3333333333333,929.6666666666667,1493.3333333333333,1542.3333333333333,8248.333333333334,6
83,3,sivanto,11,303,1170.6666666666667,2049.333333333333,3503.666666666667,4619.333333333333,5805.333333333333,17451.333333333332,7
159,3,sivanto,10,259,747.6666666666667,2368.333333333333,8335.666666666666,9638.333333333334,5229.333333333333,26578.333333333332,9
77,3,flup,11,922,1718.6666666666667,3585.333333333333,4983.666666666667,8058.333333333333,10592.333333333334,29860.333333333332,6
105,3,control,9,23,725.6666666666667,1602.3333333333333,4340.666666666667,6209.333333333333,3215.333333333333,16116.333333333332,10
181,3,flup,9,941,2472.666666666667,7683.333333333333,14240.666666666666,7849.333333333333,4761.333333333333,37948.33333333333,14
72,3,control,12,75,0,20.333333333333258,516.6666666666667,593.3333333333333,1876.3333333333333,3081.6666666666665,5
197,3,sivanto,9,517,1019.6666666666667,2626.333333333333,5289.666666666667,7441.333333333333,6799.333333333333,23693.333333333332,11
174,3,sivanto,12,108,215.66666666666674,568.3333333333333,1370.6666666666667,3371.333333333333,1906.3333333333333,7540.333333333333,6
203,3,control,11,1414,2240.666666666667,3000.333333333333,3400.666666666667,1780.3333333333333,1647.3333333333333,13483.333333333334,7
123,3,flup,10,369,422.66666666666674,923.3333333333333,1833.6666666666667,3786.333333333333,2019.3333333333333,9354.333333333332,9
4,3,control,10,373,593.6666666666667,1773.3333333333333,8731.666666666666,14879.333333333334,12325.333333333334,38676.333333333336,10
42,4,sivanto,13,532,806.6666666666667,2320.333333333333,4625.333333333333,5843.666666666667,6776,20904,14
39,4,control,13,1638,2662.666666666667,9039.333333333334,7833.333333333333,4776.666666666667,4228,30178,20
79,4,control,15,349,1238.6666666666667,8161.333333333333,9629.333333333334,8550.666666666666,5406,33335,10
84,4,sivanto,15,188,811.6666666666667,1292.3333333333333,1514.3333333333333,4429.666666666667,9256,17492,7
134,4,flup,13,2632,3100.666666666667,6713.333333333333,5245.333333333333,3379.666666666667,4495,25566,15
163,4,sivanto,14,271,511.66666666666674,1670.3333333333333,3252.333333333333,6311.666666666667,11063,23080,10
176,4,sivanto,16,0,113.66666666666674,1287.3333333333333,1160.3333333333333,1894.6666666666667,2282,6738,5
194,4,flup,14,987,1070.6666666666667,5248.333333333333,7080.333333333333,6647.666666666667,9372,30406,16
214,4,control,16,627,1006.6666666666667,3881.333333333333,3604.333333333333,1088.6666666666667,2025,12233,8
248,4,control,14,627,900.6666666666667,2559.333333333333,5118.333333333333,7541.666666666667,9437,26184,8
237,4,flup,15,1942,2331.666666666667,5346.333333333333,6180.333333333333,7941.666666666667,11959,35701,9
229,4,flup,16,1281,1511.6666666666667,3580.333333333333,2817.333333333333,2477.666666666667,6164,17832,8
75,5,control,20,1647,753.6666666666666,1814,2365.666666666667,3082.333333333333,2686.333333333333,12349,8
118,5,control,18,1606,1898.6666666666665,4362,6037.666666666667,11124.333333333334,8560.333333333334,33589,13
135,5,sivanto,19,1434,1066.6666666666665,3049,7506.666666666667,7744.333333333333,5130.333333333333,25931,9
140,5,flup,18,2572,2400.6666666666665,5987,4640.666666666667,5300.333333333333,5605.333333333333,26506,16
191,5,flup,17,2594,2261.6666666666665,5672,4191.666666666667,7419.333333333333,7135.333333333333,29274,16
216,5,control,17,2992,2840.6666666666665,4823,4741.666666666667,9460.333333333334,5991.333333333333,30849,23
250,5,sivanto,20,1030,846.6666666666666,1365,2779.666666666667,4480.333333333333,5017.333333333333,15519,9
314,5,sivanto,17,3051,3722.6666666666665,9981,7667.666666666667,6816.333333333333,5062.333333333333,36301,23
315,5,flup,20,1809,1112.6666666666665,1671,3708.666666666667,9293.333333333334,11195.333333333334,28790,7
264,5,sivanto,18,2337,1632.6666666666665,3457,6354.666666666667,6453.333333333333,7097.333333333333,27332,15
277,5,control,19,2267,1953.6666666666665,4637,7781.666666666667,11380.333333333334,9004.333333333334,37024,11
300,5,flup,19,1365,832.6666666666666,3640,6165.666666666667,12961.333333333334,11694.333333333334,36659,11
