colony_number,block,treatment,triad,sucrose_consumption_day_1,sucrose_consumption_day_2,sucrose_consumption_day_4,sucrose_consumption_day_6,sucrose_consumption_day_8,sucrose_consumption_day_10,summed_consumption,number_of_workers_at_exposure_start
51,1,sivanto,1,12235,17892,28355,30395.666666666668,44211,48472,181560.66666666666,20
7,1,sivanto,2,7480,9085,11592,18353.666666666668,24502,23814,94826.66666666667,19
34,1,control,1,14344,18550,29728,34767.666666666664,52928,42987,193304.66666666666,28
17,1,flup,2,5013,6343,9608,10372.666666666666,10872,8518,50726.666666666664,15
117,1,flup,3,7861,10940,21202,34274.666666666664,42337,40728,157342.66666666666,14
8,1,control,2,7762,9974,14951,26367.666666666668,30159,32917,122130.66666666667,17
185,1,control,3,7074,8153,14807,26305.666666666668,34788,35949,127076.66666666667,8
57,1,flup,1,11825,15509,24144,30582.666666666668,41365,38382,161807.66666666666,22
12,1,sivanto,3,5382,9557,13201,19484.666666666668,23418,26215,97257.66666666667,11
171,1,sivanto,4,4217,6753,11813,16243.666666666666,20791,22134,81951.66666666667,6
177,1,flup,4,7347,6736,11346,11855.666666666666,21442,24224,82950.66666666667,6
116,1,control,4,8093,9806,16539,26899.666666666668,40613,34432,136382.66666666666,7
96,2,control,5,7002.666666666667,8307.333333333334,16379.333333333334,19606.666666666668,24147,20988.333333333332,96431.33333333333,10
76,2,sivanto,5,7490.666666666667,12133.333333333334,28928.333333333332,38089.666666666664,47125,46693.333333333336,180460.33333333334,19
46,2,flup,5,3791.6666666666665,7762.333333333333,11623.333333333334,13000.666666666666,17997,21136.333333333332,75311.33333333333,10
104,2,sivanto,6,4546.666666666667,5954.333333333333,14945.333333333334,23570.666666666668,26409,28519.333333333332,103945.33333333333,8
87,2,control,6,6867.666666666667,9099.333333333334,22103.333333333332,30372.666666666668,41022,38370.333333333336,147835.33333333334,8
33,2,control,7,4665.666666666667,6582.333333333333,11153.333333333334,13924.666666666666,16075,16666.333333333332,69067.33333333333,7
