colony_number,total_insecticide_dose,block,treatment,triad,number_of_workers_at_exposure_start
51,101.71087317931334,1,sivanto,1,20
7,49.447735189153335,1,sivanto,2,19
17,27.638626198693334,1,flup,2,15
117,120.45324888617334,1,flup,3,14
57,127.01623398851333,1,flup,1,22
12,48.599398251543334,1,sivanto,3,11
171,46.736119449873335,1,sivanto,4,6
177,35.66859982463333,1,flup,4,6
76,120.33932933965335,2,sivanto,5,19
46,28.772869451563334,2,flup,5,10
104,45.13453669643333,2,sivanto,6,8
170,48.55436696796333,2,flup,7,7
119,19.851499493683335,2,flup,8,5
124,81.01192264970332,2,flup,6,10
127,19.26991868143333,2,sivanto,7,7
143,32.137785400013335,2,sivanto,8,7
198,47.93241225231,3,flup,12,6
83,34.58026292141,3,sivanto,11,7
77,60.037927334639996,3,flup,11,6
181,78.30749220235,3,flup,9,14
197,45.77454038456,3,sivanto,9,11
174,18.291641882409998,3,sivanto,12,6
123,27.195541361500002,3,flup,10,9
42,46.78872929519,4,sivanto,13,14
84,27.08545804745,4,sivanto,15,7
134,105.06037233664,4,flup,13,15
163,39.220982801139996,4,sivanto,14,10
176,11.69729550986,4,sivanto,16,5
194,64.38259225059001,4,flup,14,16
237,89.12278186612,4,flup,15,9
229,58.13078817443,4,flup,16,8
135,63.213309054583334,5,sivanto,19,9
140,102.48052629899334,5,flup,18,16
191,109.73323896844333,5,flup,17,16
250,49.75492227105333,5,sivanto,20,9
314,131.11875965053335,5,sivanto,17,23
315,78.25639975786333,5,flup,20,7
264,95.32066511171334,5,sivanto,18,15
300,71.17216586419333,5,flup,19,11
