colony_number,total_reproductive_output,total_male_number,block,treatment,triad,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day,wax_moth
51,151,151,1,sivanto,1,M,porkka,20,18,33,52,10,N
7,57,57,1,sivanto,2,WA,porkka,19,11,42,61,1,N
34,119,119,1,control,1,M,porkka,28,10,38,53,9,N
17,0,0,1,flup,2,WA,porkka,15,11,49,61,1,N
117,133,133,1,flup,3,BA,porkka,14,7,28,40,22,N
8,109,109,1,control,2,WA,porkka,17,11,49,61,1,N
185,75,75,1,control,3,BA,porkka,8,9,27,35,27,N
57,NA,NA,1,flup,1,M,porkka,22,13,42,47,15,N
12,64,64,1,sivanto,3,BA,porkka,11,11,56,61,1,N
171,97,97,1,sivanto,4,BG,porkka,6,9,30,35,27,N
177,66,66,1,flup,4,BG,porkka,6,9,34,35,27,N
116,36,36,1,control,4,BG,porkka,7,7,39,40,22,N
96,0,0,2,control,5,BG,porkka,10,8,41,44,20,N
76,199,199,2,sivanto,5,BG,porkka,19,9,42,45,19,N
46,47,47,2,flup,5,BG,porkka,10,18,51,54,10,N
104,51,49,2,sivanto,6,M,porkka,8,9,41,44,20,N
87,103,103,2,control,6,M,porkka,8,8,41,44,20,N
33,17,17,2,control,7,WA,porkka,7,10,52,55,9,N
170,84,84,2,flup,7,WA,porkka,7,9,34,37,27,N
119,23,23,2,flup,8,BA,porkka,5,14,39,42,22,N
124,193,191,2,flup,6,M,porkka,10,7,39,42,22,N
131,35,35,2,control,8,BA,porkka,6,7,39,42,22,N
127,8,8,2,sivanto,7,WA,porkka,7,14,39,42,22,Y
143,10,10,2,sivanto,8,BA,porkka,7,7,39,42,22,N
198,224,224,3,flup,12,WA,porkka,6,11,39,40,30,N
83,49,47,3,sivanto,11,M,porkka,7,28,50,51,19,N
159,46,46,3,sivanto,10,BG,porkka,9,9,42,43,27,N
77,52,52,3,flup,11,M,porkka,6,24,50,51,19,N
105,42,42,3,control,9,BA,porkka,10,9,49,50,20,N
181,127,127,3,flup,9,BA,porkka,14,9,42,43,27,N
72,7,7,3,control,12,WA,porkka,5,17,50,51,19,N
197,97,97,3,sivanto,9,BA,porkka,11,6,32,40,30,Y
174,18,18,3,sivanto,12,WA,porkka,6,9,42,43,27,N
203,95,93,3,control,11,M,porkka,7,24,39,40,30,N
123,0,0,3,flup,10,BG,porkka,9,7,47,48,22,N
4,47,47,3,control,10,BG,porkka,10,11,68,69,1,N
42,16,16,4,sivanto,13,WA,porkka,14,23,67,69,10,N
39,26,26,4,control,13,WA,porkka,20,27,68,70,9,Y
79,31,31,4,control,15,BG,porkka,10,17,58,60,19,N
84,20,20,4,sivanto,15,BG,porkka,7,17,58,60,19,N
134,142,142,4,flup,13,WA,porkka,15,7,55,57,22,N
163,12,12,4,sivanto,14,BA,porkka,10,9,50,52,27,N
176,29,29,4,sivanto,16,M,porkka,5,9,50,52,27,N
194,19,19,4,flup,14,BA,porkka,16,11,47,49,30,Y
214,74,74,4,control,16,M,porkka,8,24,47,49,30,N
248,41,41,4,control,14,BA,bee_room,8,20,42,44,35,N
237,116,116,4,flup,15,BG,bee_room,9,20,42,44,35,N
229,30,30,4,flup,16,M,bee_room,8,20,42,44,35,Y
75,3,3,5,control,20,BG,porkka,8,17,58,60,19,N
118,61,61,5,control,18,WA,porkka,13,7,55,57,22,N
135,10,10,5,sivanto,19,BA,porkka,9,25,55,57,22,Y
140,55,53,5,flup,18,WA,porkka,16,7,55,57,22,N
191,130,130,5,flup,17,M,porkka,16,9,50,52,27,Y
216,115,115,5,control,17,M,porkka,23,6,47,49,30,Y
250,32,32,5,sivanto,20,BG,bee_room,9,20,42,44,35,N
314,148,148,5,sivanto,17,M,bee_room,23,6,40,42,37,N
315,58,58,5,flup,20,BG,bee_room,7,11,40,42,37,Y
264,20,20,5,sivanto,18,WA,bee_room,15,12,41,43,36,N
277,127,127,5,control,19,BA,bee_room,11,18,40,42,37,N
300,66,66,5,flup,19,BA,bee_room,11,11,40,42,37,Y
